job_id,job_title,salary_usd,salary_currency,experience_level,employment_type,company_location,company_size,employee_residence,remote_ratio,required_skills,education_required,years_experience,industry,posting_date,application_deadline,job_description_length,benefits_score,company_name,,salary_range
AI00698,NLP Engineer,84547,USD,MI,FL,Australia,L,Australia,100,"Spark, R, NLP, Computer Vision",Bachelor,3,Consulting,13/2/2025,22/4/2025,2292,7.4,DeepTech Ventures,,60Ð90k
AI00729,Data Analyst,60973,USD,EN,FT,Australia,S,Finland,0,"SQL, Deep Learning, Tableau, Kubernetes, Data Visualization",Associate,1,Manufacturing,9/4/2025,18/5/2025,1339,5.1,Autonomous Tech,,60Ð90k
AI00785,AI Specialist,129638,USD,SE,PT,Australia,S,Australia,0,"Deep Learning, Statistics, Spark, Kubernetes, Scala",Master,9,Healthcare,29/3/2025,13/5/2025,1292,10,Autonomous Tech,,120Ð160k
AI00807,Autonomous Systems Engineer,66331,USD,EN,FL,Australia,M,United States,50,"GCP, Tableau, Python, Data Visualization, NLP",Associate,1,Telecommunications,27/4/2024,22/6/2024,517,8.1,TechCorp Inc,,60Ð90k
AI00839,Computer Vision Engineer,86315,USD,MI,FT,Australia,S,Australia,0,"Tableau, GCP, MLOps",PhD,3,Real Estate,27/4/2025,11/6/2025,1326,7.5,Future Systems,,60Ð90k
AI00855,AI Software Engineer,81479,USD,MI,FT,Australia,M,Australia,50,"GCP, Statistics, Docker",Bachelor,4,Telecommunications,20/3/2024,13/4/2024,2018,6.9,DataVision Ltd,,60Ð90k
AI00899,Autonomous Systems Engineer,72245,USD,MI,CT,Australia,S,Australia,100,"Git, Scala, Computer Vision, Tableau, Java",Master,4,Automotive,6/5/2024,9/6/2024,1529,5.4,Cognitive Computing,,60Ð90k
AI00903,Research Scientist,81756,USD,MI,FT,Australia,M,Australia,0,"Mathematics, SQL, Java, Data Visualization",Associate,2,Healthcare,14/2/2024,20/4/2024,1721,7,Cognitive Computing,,60Ð90k
AI00927,Principal Data Scientist,264209,USD,EX,FT,Australia,L,Australia,100,"Linux, Kubernetes, R",Bachelor,19,Government,8/7/2024,14/9/2024,619,5.8,Cloud AI Solutions,,250Ð300k
AI00935,Data Analyst,162562,USD,EX,FL,Australia,L,Australia,100,"Git, Python, Linux",Master,15,Manufacturing,13/6/2024,8/7/2024,655,6.8,DataVision Ltd,,160Ð200k
AI00973,NLP Engineer,53593,USD,EN,PT,Australia,M,Australia,0,"Git, PyTorch, GCP",PhD,1,Government,11/12/2024,5/1/2025,1410,8.5,DeepTech Ventures,,30Ð60k
AI01002,Robotics Engineer,141302,USD,SE,PT,Australia,M,Australia,50,"Git, Tableau, Data Visualization, Linux",PhD,8,Gaming,4/8/2024,6/10/2024,2273,5.4,Cognitive Computing,,120Ð160k
AI01029,AI Research Scientist,145214,USD,EX,FT,Australia,M,France,0,"Kubernetes, Spark, Linux",Associate,17,Real Estate,7/4/2024,24/4/2024,1873,5.9,Smart Analytics,,120Ð160k
AI01030,AI Product Manager,179667,USD,EX,FT,Australia,L,Australia,0,"SQL, R, MLOps, Deep Learning, Statistics",PhD,11,Healthcare,27/2/2024,13/4/2024,1045,9.4,DataVision Ltd,,160Ð200k
AI01049,Data Engineer,269645,USD,EX,FL,Australia,L,Australia,100,"Hadoop, Linux, Python, TensorFlow",Bachelor,16,Healthcare,25/4/2024,16/6/2024,1694,7.2,AI Innovations,,250Ð300k
AI01050,Data Analyst,123571,USD,SE,CT,Australia,S,Australia,0,"Hadoop, Spark, MLOps, Computer Vision, Scala",Master,9,Healthcare,21/10/2024,9/11/2024,2124,8.8,Neural Networks Co,,120Ð160k
AI01067,Autonomous Systems Engineer,64276,USD,EN,FL,Australia,L,Australia,50,"R, Docker, SQL, NLP",Bachelor,0,Consulting,4/3/2024,27/4/2024,877,7.5,Smart Analytics,,60Ð90k
AI01114,AI Research Scientist,72552,USD,MI,CT,Australia,S,Australia,0,"TensorFlow, R, Tableau, Kubernetes",Bachelor,3,Finance,24/3/2025,30/5/2025,825,9.1,AI Innovations,,60Ð90k
AI01119,Data Engineer,51089,USD,EN,CT,Australia,S,Australia,0,"Data Visualization, PyTorch, Spark",Associate,1,Retail,15/2/2025,11/3/2025,621,7.6,Smart Analytics,,30Ð60k
AI01147,AI Research Scientist,118612,USD,SE,PT,Australia,L,Australia,0,"GCP, Java, SQL, Kubernetes",Associate,7,Gaming,7/10/2024,17/12/2024,1279,9.8,Cognitive Computing,,90Ð120k
AI01154,AI Consultant,116906,USD,MI,PT,Australia,L,Austria,50,"R, Python, Computer Vision, Deep Learning",Associate,4,Gaming,21/12/2024,4/1/2025,2336,8.6,AI Innovations,,90Ð120k
AI01156,Data Engineer,142412,USD,SE,PT,Australia,M,Australia,50,"Kubernetes, Mathematics, Computer Vision, Deep Learning, SQL",Associate,6,Gaming,23/11/2024,26/12/2024,1495,7.8,Algorithmic Solutions,,120Ð160k
AI01165,Autonomous Systems Engineer,175790,USD,EX,PT,Australia,L,Australia,50,"Statistics, Tableau, Python",Master,11,Healthcare,2/5/2024,14/6/2024,1134,7.8,Autonomous Tech,,160Ð200k
AI01183,Head of AI,125594,USD,SE,CT,Australia,M,Australia,50,"AWS, Scala, Azure, Deep Learning",PhD,6,Technology,14/9/2024,17/10/2024,1475,6.7,Cognitive Computing,,120Ð160k
AI01186,AI Consultant,96277,USD,MI,FT,Australia,L,Australia,0,"Hadoop, Docker, Linux, Kubernetes",Bachelor,3,Transportation,22/10/2024,10/12/2024,2253,5.9,Cognitive Computing,,90Ð120k
AI01203,Data Scientist,153686,USD,EX,FT,Australia,S,Australia,50,"Hadoop, PyTorch, Java",Associate,15,Telecommunications,25/12/2024,14/1/2025,1959,6.2,Advanced Robotics,,120Ð160k
AI01223,AI Architect,185576,USD,EX,CT,Australia,S,Australia,100,"Scala, Git, Python, Spark, SQL",Master,10,Education,5/6/2024,19/7/2024,1766,7.4,Advanced Robotics,,160Ð200k
AI01253,Head of AI,65792,USD,EN,CT,Australia,L,Australia,0,"AWS, Docker, Git, Python",Bachelor,1,Technology,27/8/2024,4/11/2024,1206,9.4,Smart Analytics,,60Ð90k
AI01267,Research Scientist,83412,USD,MI,CT,Australia,S,Australia,50,"Python, TensorFlow, Data Visualization",Bachelor,4,Healthcare,1/8/2024,12/10/2024,1379,9.9,TechCorp Inc,,60Ð90k
AI01296,AI Architect,92965,USD,MI,CT,Australia,S,Australia,100,"Spark, Computer Vision, SQL",Bachelor,4,Real Estate,3/4/2024,23/5/2024,695,6.7,Future Systems,,90Ð120k
AI01298,Data Engineer,74684,USD,MI,CT,Australia,S,Australia,0,"AWS, Java, Spark, NLP",Associate,2,Finance,26/5/2024,24/6/2024,2141,7.1,Future Systems,,60Ð90k
AI01302,Machine Learning Researcher,62450,USD,EN,CT,Australia,M,Australia,50,"Java, PyTorch, Python, Kubernetes",PhD,0,Retail,2/4/2025,25/4/2025,552,9.8,Cognitive Computing,,60Ð90k
AI01304,Deep Learning Engineer,129026,USD,EX,CT,Australia,S,Australia,50,"NLP, Python, GCP, Data Visualization",Master,10,Telecommunications,15/3/2025,3/4/2025,2393,9.2,Quantum Computing Inc,,120Ð160k
AI01311,Autonomous Systems Engineer,104220,USD,SE,FT,Australia,M,Israel,0,"Python, AWS, MLOps",PhD,5,Consulting,27/9/2024,25/11/2024,2131,5.2,Quantum Computing Inc,,90Ð120k
AI01317,Deep Learning Engineer,168134,USD,EX,PT,Australia,L,Australia,50,"Tableau, R, AWS, PyTorch",Associate,16,Manufacturing,27/4/2025,30/6/2025,1665,5.9,Neural Networks Co,,160Ð200k
AI01330,Computer Vision Engineer,129483,USD,SE,PT,Australia,L,Japan,50,"TensorFlow, Data Visualization, Azure",PhD,6,Retail,3/3/2025,29/4/2025,1733,8.3,Machine Intelligence Group,,120Ð160k
AI01374,Data Scientist,289435,USD,EX,FL,Australia,L,Australia,100,"PyTorch, NLP, Tableau, Computer Vision",Bachelor,15,Retail,3/1/2025,21/1/2025,1637,8.3,Advanced Robotics,,250Ð300k
AI01386,Computer Vision Engineer,172415,USD,EX,CT,Australia,L,Australia,0,"Computer Vision, Python, GCP",Bachelor,19,Finance,9/3/2024,11/4/2024,1189,9.6,Algorithmic Solutions,,160Ð200k
AI01397,AI Consultant,72226,USD,EN,FL,Australia,S,Australia,100,"Data Visualization, Linux, Azure",Master,1,Retail,19/7/2024,18/9/2024,1390,5.1,Predictive Systems,,60Ð90k
AI01423,Principal Data Scientist,57537,USD,EN,FT,Australia,S,Australia,50,"Java, PyTorch, R",Associate,1,Energy,5/1/2024,24/2/2024,2108,5.5,Digital Transformation LLC,,30Ð60k
AI01443,Head of AI,223945,USD,EX,FL,Australia,S,China,100,"GCP, Git, NLP, Computer Vision, Python",PhD,14,Telecommunications,5/1/2024,31/1/2024,1616,9.7,TechCorp Inc,,200Ð250k
AI01459,Machine Learning Researcher,70893,USD,EN,FL,Australia,M,Australia,50,"SQL, Data Visualization, GCP, Computer Vision, Git",Master,0,Retail,4/5/2024,7/6/2024,1555,6.6,Cognitive Computing,,60Ð90k
AI01465,AI Software Engineer,73530,USD,MI,FL,Australia,S,Sweden,0,"Tableau, PyTorch, SQL, Spark, Hadoop",Associate,2,Consulting,10/6/2024,31/7/2024,2134,8.3,AI Innovations,,60Ð90k
AI01473,Head of AI,95872,USD,MI,FT,Australia,M,Australia,50,"Python, Spark, Data Visualization, GCP, TensorFlow",Associate,2,Manufacturing,13/2/2024,4/3/2024,1242,6.1,Machine Intelligence Group,,90Ð120k
AI01479,Machine Learning Researcher,108543,USD,SE,FL,Australia,S,Australia,100,"Data Visualization, Scala, Docker, Hadoop, GCP",Bachelor,7,Transportation,23/3/2024,16/4/2024,1404,8.8,Future Systems,,90Ð120k
AI01487,Principal Data Scientist,72459,USD,EN,PT,Australia,S,Canada,50,"Computer Vision, Statistics, Tableau, Data Visualization",Associate,1,Retail,6/10/2024,28/11/2024,840,7,Machine Intelligence Group,,60Ð90k
AI01519,Autonomous Systems Engineer,81157,USD,MI,PT,Australia,S,Australia,0,"Hadoop, Kubernetes, Data Visualization",Master,3,Real Estate,8/7/2024,14/9/2024,1363,7.9,AI Innovations,,60Ð90k
AI01582,AI Consultant,59222,USD,EN,FT,Australia,M,Australia,100,"Python, Spark, MLOps, Linux",Associate,0,Finance,25/3/2025,13/4/2025,2392,7.2,Advanced Robotics,,30Ð60k
AI01603,AI Specialist,102093,USD,SE,FT,Australia,S,Netherlands,0,"Tableau, Git, SQL, Hadoop, Spark",PhD,6,Manufacturing,6/1/2024,23/1/2024,1161,6.3,Digital Transformation LLC,,90Ð120k
AI01612,AI Software Engineer,106903,USD,SE,FT,Australia,S,Australia,50,"Git, Data Visualization, Computer Vision",Associate,7,Real Estate,5/2/2024,27/3/2024,584,8,Neural Networks Co,,90Ð120k
AI01620,NLP Engineer,167289,USD,SE,CT,Australia,L,Australia,100,"Python, AWS, Deep Learning, Azure",Bachelor,5,Automotive,4/1/2024,5/3/2024,1124,6,Autonomous Tech,,160Ð200k
AI01645,AI Consultant,51215,USD,EN,CT,Australia,M,Australia,100,"Python, Linux, Git, Statistics",Associate,0,Real Estate,13/6/2024,3/8/2024,1672,5.4,Algorithmic Solutions,,30Ð60k
AI01674,AI Architect,135021,USD,SE,PT,Australia,S,Australia,100,"Linux, SQL, Computer Vision",Master,7,Automotive,28/2/2025,11/4/2025,603,6.6,AI Innovations,,120Ð160k
AI01683,Robotics Engineer,226504,USD,EX,FT,Australia,S,Australia,100,"PyTorch, Scala, Data Visualization, GCP",Associate,18,Healthcare,8/12/2024,9/1/2025,993,5.8,Machine Intelligence Group,,200Ð250k
AI01684,Autonomous Systems Engineer,186222,USD,EX,CT,Australia,S,Finland,100,"Linux, Data Visualization, Java",Associate,15,Media,17/3/2024,9/5/2024,1023,6,Cognitive Computing,,160Ð200k
AI01730,Machine Learning Engineer,137257,USD,SE,FT,Australia,S,Australia,100,"Statistics, AWS, Mathematics, Azure, TensorFlow",Bachelor,9,Real Estate,28/3/2025,7/6/2025,2392,9.3,Neural Networks Co,,120Ð160k
AI01736,AI Consultant,62844,USD,EN,FL,Australia,M,Australia,50,"R, Linux, Docker, Kubernetes",Bachelor,0,Media,4/9/2024,27/9/2024,1570,7.1,Machine Intelligence Group,,60Ð90k
AI01748,Data Scientist,88944,USD,EN,PT,Australia,L,Ireland,100,"Scala, Computer Vision, TensorFlow, Tableau",Associate,1,Finance,24/5/2024,30/7/2024,1630,7.9,Machine Intelligence Group,,60Ð90k
AI01770,Machine Learning Researcher,59459,USD,EN,PT,Australia,L,Australia,50,"Java, R, Deep Learning",Associate,0,Automotive,22/9/2024,9/11/2024,1539,6.8,Smart Analytics,,30Ð60k
AI01846,AI Research Scientist,82425,USD,MI,PT,Australia,M,Norway,0,"SQL, AWS, Deep Learning, PyTorch, Computer Vision",Associate,4,Finance,27/12/2024,18/2/2025,1755,7.3,Future Systems,,60Ð90k
AI01857,Machine Learning Researcher,63724,USD,EN,FT,Australia,L,Switzerland,100,"Data Visualization, SQL, Deep Learning",Associate,0,Media,3/4/2025,8/6/2025,862,6,DataVision Ltd,,60Ð90k
AI01864,NLP Engineer,95706,USD,MI,CT,Australia,L,Australia,100,"Python, TensorFlow, PyTorch",PhD,2,Automotive,20/1/2025,18/3/2025,518,6.3,Quantum Computing Inc,,90Ð120k
AI01868,Computer Vision Engineer,259535,USD,EX,FL,Australia,L,Israel,0,"Docker, Scala, Deep Learning, Python, Spark",PhD,19,Media,4/1/2024,22/1/2024,2414,7.7,DataVision Ltd,,250Ð300k
AI01873,Data Scientist,69797,USD,EN,FT,Australia,L,Australia,50,"Docker, Data Visualization, AWS, MLOps",Associate,0,Finance,18/3/2025,28/4/2025,1693,9.9,Future Systems,,60Ð90k
AI01907,Machine Learning Engineer,59376,USD,EN,CT,Australia,S,Australia,100,"TensorFlow, Kubernetes, MLOps",Master,0,Finance,3/5/2024,13/6/2024,1906,7.7,TechCorp Inc,,30Ð60k
AI01909,Machine Learning Engineer,99872,USD,MI,PT,Australia,L,Australia,50,"Kubernetes, Deep Learning, PyTorch, Azure",Master,4,Government,9/4/2024,4/6/2024,546,6.2,Neural Networks Co,,90Ð120k
AI01919,NLP Engineer,117847,USD,SE,FT,Australia,S,India,100,"R, Git, NLP, Tableau, Statistics",Bachelor,5,Manufacturing,20/9/2024,11/10/2024,1757,7.8,Cloud AI Solutions,,90Ð120k
AI01957,AI Product Manager,124687,USD,SE,CT,Australia,M,Australia,0,"TensorFlow, Scala, Data Visualization, Python",Master,8,Gaming,26/5/2024,19/6/2024,1425,6.8,Advanced Robotics,,120Ð160k
AI01962,Machine Learning Engineer,189567,USD,EX,CT,Australia,S,Australia,0,"Java, Kubernetes, PyTorch, Linux",Master,10,Education,29/11/2024,17/12/2024,1672,9,Advanced Robotics,,160Ð200k
AI01963,Machine Learning Engineer,176467,USD,EX,FT,Australia,L,Singapore,50,"Docker, SQL, Deep Learning",Associate,10,Finance,23/8/2024,28/10/2024,2228,6.3,Neural Networks Co,,160Ð200k
AI01973,Data Scientist,75459,USD,MI,FL,Australia,S,Australia,50,"Statistics, Azure, Deep Learning, Mathematics, Computer Vision",PhD,4,Transportation,1/5/2024,20/6/2024,2244,8.3,DeepTech Ventures,,60Ð90k
AI01989,AI Research Scientist,219209,USD,EX,FT,Australia,M,Canada,100,"SQL, Hadoop, MLOps, Deep Learning, TensorFlow",Associate,13,Consulting,11/4/2025,29/4/2025,1307,8.4,Autonomous Tech,,200Ð250k
AI02008,NLP Engineer,74504,USD,MI,FT,Australia,M,Australia,50,"Hadoop, Linux, Data Visualization",PhD,2,Gaming,28/10/2024,23/12/2024,1384,9.5,Cloud AI Solutions,,60Ð90k
AI02052,ML Ops Engineer,56037,USD,EN,FT,Australia,S,Australia,100,"Python, MLOps, Linux, TensorFlow, Deep Learning",Master,1,Retail,3/2/2024,5/4/2024,1961,5.8,Cognitive Computing,,30Ð60k
AI02062,Computer Vision Engineer,96824,USD,MI,PT,Australia,S,Australia,100,"GCP, PyTorch, Deep Learning, MLOps",Master,4,Consulting,15/3/2025,16/5/2025,1517,9.9,Future Systems,,90Ð120k
AI02077,AI Software Engineer,88064,USD,MI,PT,Australia,M,Australia,100,"Hadoop, Computer Vision, Data Visualization, Python",Associate,4,Energy,15/2/2024,30/3/2024,922,9.3,DeepTech Ventures,,60Ð90k
AI02109,AI Research Scientist,214971,USD,EX,CT,Australia,L,Australia,0,"Python, R, Kubernetes",Bachelor,15,Media,31/10/2024,15/11/2024,1754,7.9,Quantum Computing Inc,,200Ð250k
AI02116,Deep Learning Engineer,96213,USD,MI,PT,Australia,M,Australia,50,"Hadoop, PyTorch, Tableau",Master,4,Gaming,2/2/2025,16/4/2025,919,7.7,Digital Transformation LLC,,90Ð120k
AI02140,Data Engineer,79605,USD,EN,PT,Australia,L,South Korea,0,"Java, SQL, Azure, Scala",Associate,1,Telecommunications,26/2/2024,5/4/2024,802,8.9,Predictive Systems,,60Ð90k
AI02159,Research Scientist,66115,USD,EN,PT,Australia,S,Australia,0,"Linux, Python, AWS, NLP",Master,1,Automotive,1/9/2024,15/10/2024,718,7.5,Cloud AI Solutions,,60Ð90k
AI02170,AI Product Manager,84132,USD,EN,CT,Australia,L,Israel,0,"AWS, R, SQL, Git",Associate,0,Energy,12/8/2024,10/9/2024,1786,9.7,Future Systems,,60Ð90k
AI02179,AI Product Manager,132252,USD,SE,FL,Australia,M,Australia,100,"PyTorch, Deep Learning, Scala, TensorFlow",Master,8,Government,18/5/2024,17/7/2024,2330,7,Digital Transformation LLC,,120Ð160k
AI02183,Computer Vision Engineer,61490,USD,EN,FT,Australia,S,Australia,50,"GCP, Linux, Docker, Git",PhD,0,Real Estate,6/10/2024,25/11/2024,1192,8.6,Algorithmic Solutions,,60Ð90k
AI02248,AI Software Engineer,75857,USD,EN,CT,Australia,M,Australia,100,"PyTorch, Azure, SQL",Master,0,Education,8/6/2024,24/7/2024,1757,7.7,Digital Transformation LLC,,60Ð90k
AI02264,Deep Learning Engineer,139280,USD,SE,PT,Australia,L,Australia,50,"Mathematics, GCP, AWS, Git, Python",Associate,9,Transportation,6/9/2024,10/11/2024,1610,5.7,Quantum Computing Inc,,120Ð160k
AI02266,Computer Vision Engineer,119365,USD,SE,FT,Australia,S,Australia,100,"Python, Azure, TensorFlow, NLP, MLOps",Bachelor,9,Retail,12/12/2024,5/1/2025,825,9.1,TechCorp Inc,,90Ð120k
AI02276,ML Ops Engineer,87938,USD,MI,FT,Australia,S,India,100,"Statistics, GCP, Python, Tableau",Associate,4,Healthcare,24/2/2024,7/5/2024,808,8.2,DataVision Ltd,,60Ð90k
AI02284,AI Consultant,126405,USD,EX,CT,Australia,S,Australia,0,"Data Visualization, R, Git, AWS, Computer Vision",Associate,16,Healthcare,25/10/2024,2/12/2024,958,9.1,Quantum Computing Inc,,120Ð160k
AI02306,AI Consultant,104779,USD,SE,FL,Australia,S,Australia,50,"GCP, MLOps, Python, Statistics",Master,5,Energy,16/9/2024,9/11/2024,2136,7.3,Predictive Systems,,90Ð120k
AI02307,Deep Learning Engineer,98366,USD,MI,FT,Australia,S,Australia,50,"Docker, AWS, PyTorch",Master,3,Automotive,14/3/2024,8/4/2024,2397,6.8,Cloud AI Solutions,,90Ð120k
AI02328,AI Research Scientist,56447,USD,EN,PT,Australia,S,Australia,0,"Linux, SQL, R, GCP, Java",PhD,1,Media,9/9/2024,7/10/2024,2195,8.6,Machine Intelligence Group,,30Ð60k
AI02362,Robotics Engineer,127905,USD,EX,FL,Australia,S,Australia,100,"Linux, Spark, TensorFlow",Associate,13,Healthcare,11/5/2024,13/6/2024,1542,8,Predictive Systems,,120Ð160k
AI02432,Autonomous Systems Engineer,51367,USD,EN,FT,Australia,M,Australia,50,"Mathematics, Azure, GCP, AWS",Bachelor,1,Consulting,10/5/2024,7/7/2024,1074,7.6,Neural Networks Co,,30Ð60k
AI02446,AI Software Engineer,101396,USD,MI,FT,Australia,L,Australia,100,"Hadoop, GCP, Azure, Scala",PhD,4,Retail,22/1/2025,10/3/2025,2055,7.9,Predictive Systems,,90Ð120k
AI02476,AI Consultant,98817,USD,SE,FL,Australia,S,Australia,0,"AWS, Statistics, SQL, Computer Vision, Tableau",Master,7,Real Estate,25/6/2024,5/9/2024,1040,8.4,Neural Networks Co,,90Ð120k
AI02481,AI Architect,146369,USD,SE,PT,Australia,M,Australia,50,"Deep Learning, Azure, R, Linux",Master,8,Consulting,24/11/2024,22/1/2025,2446,8.4,Autonomous Tech,,120Ð160k
AI02518,Data Analyst,221652,USD,EX,FT,Australia,L,Australia,50,"TensorFlow, NLP, SQL, R, Deep Learning",Bachelor,19,Real Estate,5/5/2024,30/6/2024,1568,7.8,Smart Analytics,,200Ð250k
AI02582,AI Architect,147595,USD,EX,FL,Australia,M,Australia,0,"PyTorch, Deep Learning, NLP",Associate,16,Gaming,10/4/2025,13/6/2025,785,8.3,Future Systems,,120Ð160k
AI02585,Research Scientist,196014,USD,EX,FT,Australia,S,Australia,0,"Kubernetes, Scala, Data Visualization, Git, Python",PhD,12,Consulting,24/3/2024,17/4/2024,503,8.3,AI Innovations,,160Ð200k
AI02586,Computer Vision Engineer,209255,USD,EX,CT,Australia,S,Australia,50,"Python, Spark, Tableau, Linux, TensorFlow",PhD,18,Manufacturing,11/5/2024,11/7/2024,2088,6.7,Neural Networks Co,,200Ð250k
