industry,ai_tool,adoption_rate,daily_active_users,year
Healthcare,Bard,25.18,1606,2024
Transportation,Midjourney,26.76,3046,2024
Finance,Midjourney,48.97,1696,2024
Agriculture,ChatGPT,93.77,2927,2024
Retail,Midjourney,14.56,8780,2024
Agriculture,Bard,77,2529,2024
Finance,ChatGPT,39.11,4804,2023
Agriculture,Midjourney,1.4,5118,2024
Transportation,Bard,94.12,225,2024
Agriculture,ChatGPT,35,6484,2024
Manufacturing,Midjourney,12.17,8991,2023
Technology,ChatGPT,86.77,7704,2024
Education,ChatGPT,96.7,3690,2024
Education,ChatGPT,46.44,1034,2023
Transportation,ChatGPT,11.01,8195,2024
Finance,ChatGPT,59.72,1132,2024
Healthcare,Stable Diffusion,56.48,7839,2023
Finance,ChatGPT,88.07,8748,2024
Healthcare,ChatGPT,26.61,1087,2024
Finance,ChatGPT,27.39,9081,2024
Education,ChatGPT,82.5,4063,2024
Finance,Midjourney,58.59,9748,2023
Transportation,ChatGPT,48.41,4582,2024
Education,Midjourney,21.29,5869,2023
Manufacturing,ChatGPT,38.59,3386,2023
Healthcare,Bard,2.6,6394,2024
Education,Stable Diffusion,14.43,2972,2024
Education,Stable Diffusion,24.69,2369,2024
Agriculture,Midjourney,78.93,2592,2024
Agriculture,ChatGPT,26.09,4264,2024
Healthcare,Bard,43.6,7653,2024
Agriculture,ChatGPT,12.92,7736,2023
Education,ChatGPT,89.04,8992,2024
Manufacturing,ChatGPT,32.88,6531,2024
Healthcare,Midjourney,35.62,3738,2024
Finance,ChatGPT,52.19,5010,2024
Transportation,Midjourney,87.81,5665,2024
Transportation,Claude,16.63,1693,2024
Manufacturing,Stable Diffusion,77.01,2743,2024
Education,Midjourney,81.17,9611,2024
Finance,ChatGPT,25.4,8566,2023
Finance,Bard,32.29,6288,2024
Education,ChatGPT,43.91,6963,2024
Finance,ChatGPT,68.91,2541,2024
Retail,Bard,65.5,8206,2023
Manufacturing,Midjourney,10.11,380,2024
Education,ChatGPT,18.53,1036,2024
Transportation,ChatGPT,40.65,4792,2024
Finance,ChatGPT,55.16,7834,2024
Agriculture,Stable Diffusion,9.49,2969,2023
Agriculture,ChatGPT,68.46,9079,2023
Technology,Midjourney,26.85,2519,2023
Finance,ChatGPT,67,2381,2024
Finance,Claude,44.44,3020,2023
Education,ChatGPT,11.01,746,2024
Retail,Midjourney,49.28,729,2024
Transportation,ChatGPT,80.15,7891,2024
Agriculture,ChatGPT,58.55,4596,2024
Finance,Midjourney,6.2,4718,2024
Finance,ChatGPT,73.04,1063,2024
Manufacturing,ChatGPT,68.85,1575,2024
Retail,ChatGPT,43.48,6716,2024
Finance,Stable Diffusion,6.9,8772,2024
Finance,ChatGPT,32.61,322,2024
Agriculture,Midjourney,13.58,1236,2024
Healthcare,ChatGPT,22.19,7140,2024
Agriculture,ChatGPT,36.08,6374,2024
Agriculture,Stable Diffusion,76.96,1856,2023
Finance,Midjourney,48,4312,2024
Agriculture,Midjourney,76.62,4636,2023
Technology,ChatGPT,10.14,9984,2024
Finance,ChatGPT,53.08,5126,2023
Education,Claude,84.95,492,2024
Retail,Claude,81.56,5420,2024
Education,Claude,72.29,3164,2024
Retail,Midjourney,60,1343,2023
Technology,ChatGPT,91.2,2529,2024
Education,ChatGPT,46.68,7690,2024
Retail,ChatGPT,36.99,7276,2024
Finance,Midjourney,4.95,9864,2023
Retail,Midjourney,49.41,3908,2024
Transportation,ChatGPT,58.04,5158,2024
Healthcare,ChatGPT,7.32,8473,2023
Finance,Stable Diffusion,25.48,6029,2024
Healthcare,Stable Diffusion,34.48,3004,2023
Education,Bard,64.39,9876,2024
Finance,Midjourney,58.13,5669,2023
Education,ChatGPT,70.29,5176,2023
Retail,Bard,50.81,3812,2024
Manufacturing,Midjourney,47.86,9120,2024
Agriculture,ChatGPT,50,9107,2024
Healthcare,Bard,15.22,2758,2023
Retail,Midjourney,22.23,3268,2024
Technology,Midjourney,46.25,4955,2024
Technology,ChatGPT,76.9,4577,2024
Retail,ChatGPT,99.34,5495,2024
Healthcare,Bard,13.34,633,2024
Finance,Bard,81.44,3956,2024
Retail,ChatGPT,50.66,5087,2024
Agriculture,Midjourney,51.3,9949,2024
Education,Midjourney,56.33,6664,2024
Agriculture,Stable Diffusion,45.52,7949,2024
Finance,ChatGPT,70.78,138,2024
Technology,ChatGPT,14.86,5146,2024
Manufacturing,Stable Diffusion,40.14,9262,2024
Healthcare,ChatGPT,73.45,3172,2024
Finance,ChatGPT,71.49,9121,2024
Transportation,Midjourney,66.6,4675,2024
Education,Bard,17.85,1780,2024
Healthcare,Midjourney,89.04,1302,2023
Technology,Midjourney,63.02,142,2024
Transportation,ChatGPT,63.37,1568,2024
Healthcare,Midjourney,49.5,1855,2024
Retail,Midjourney,74.11,135,2023
Transportation,Bard,71.92,6851,2024
Retail,Bard,32.53,180,2023
Retail,ChatGPT,31.7,4718,2024
Education,ChatGPT,45.76,167,2024
Transportation,ChatGPT,69.67,3270,2024
Retail,Bard,98.78,4978,2024
Transportation,ChatGPT,39.63,1697,2024
Manufacturing,ChatGPT,78.27,8594,2023
Education,Midjourney,35.89,6500,2024
Retail,ChatGPT,1.04,9193,2024
Healthcare,ChatGPT,91.94,7089,2023
Retail,Stable Diffusion,49.22,3881,2024
Manufacturing,ChatGPT,18.21,7443,2024
Technology,Midjourney,20.29,6376,2024
Education,Stable Diffusion,50.06,3906,2023
Retail,Bard,10.46,499,2024
Technology,Bard,11.96,8933,2024
Retail,ChatGPT,43.92,4754,2024
Technology,Midjourney,47.69,2413,2024
Transportation,Midjourney,30.35,7052,2024
Transportation,Midjourney,82.16,4038,2024
Education,Midjourney,71.76,3200,2024
Manufacturing,ChatGPT,8.15,9158,2024
Manufacturing,Midjourney,30.51,7204,2024
Retail,ChatGPT,54.13,9064,2024
Finance,ChatGPT,60.49,7652,2024
Manufacturing,Bard,83.56,1938,2024
Technology,Bard,14.38,844,2024
Retail,Claude,36.37,3439,2024
Manufacturing,ChatGPT,26.55,7469,2023
Manufacturing,ChatGPT,35.38,8204,2023
Finance,Stable Diffusion,93.3,3304,2023
Agriculture,Midjourney,32.58,3052,2024
Technology,Bard,62.04,3163,2024
Retail,Bard,6.57,3150,2024
Education,ChatGPT,84,8012,2023
Manufacturing,Midjourney,88.34,3048,2023
Manufacturing,ChatGPT,87.7,4607,2023
Healthcare,Bard,47.62,3486,2023
Technology,Midjourney,54.07,9675,2024
Technology,ChatGPT,75.56,8165,2024
Agriculture,ChatGPT,27.73,8395,2024
Transportation,Midjourney,34.25,1640,2024
Transportation,Midjourney,40.39,6437,2024
Manufacturing,Bard,14.84,6087,2024
Technology,ChatGPT,40.68,5333,2023
Technology,Stable Diffusion,64.05,1067,2023
Manufacturing,ChatGPT,35.79,3100,2024
Education,Claude,22.65,1264,2023
Retail,ChatGPT,97.6,1695,2024
Transportation,Midjourney,58.23,4738,2023
Retail,Bard,80.6,5904,2024
Healthcare,Midjourney,86.86,9800,2023
Manufacturing,Midjourney,82.37,8776,2024
Education,Midjourney,42.43,3880,2024
Education,Midjourney,43.42,6050,2023
Manufacturing,Stable Diffusion,79.03,4669,2023
Agriculture,Midjourney,35.11,8030,2023
Technology,ChatGPT,40.52,1591,2023
Retail,Stable Diffusion,78.66,9832,2023
Technology,Midjourney,86.49,8157,2024
Manufacturing,Stable Diffusion,64.64,2611,2024
Healthcare,ChatGPT,96.3,1767,2024
Manufacturing,Stable Diffusion,87.04,8279,2024
Education,ChatGPT,99.51,3685,2024
Agriculture,Claude,86.3,8437,2024
Manufacturing,ChatGPT,47.85,9080,2024
Healthcare,Midjourney,59.08,4090,2024
Transportation,ChatGPT,7.3,8488,2024
Finance,Stable Diffusion,61.38,3917,2024
Finance,Midjourney,58.24,7136,2024
Finance,Midjourney,83.62,8278,2023
Agriculture,ChatGPT,30.94,8235,2024
Healthcare,ChatGPT,70.43,4426,2023
Agriculture,ChatGPT,69.59,954,2024
Education,ChatGPT,67.96,1763,2024
Finance,ChatGPT,61,5363,2024
Agriculture,ChatGPT,58.23,9262,2024
Agriculture,ChatGPT,73.36,6328,2024
Agriculture,Stable Diffusion,70.74,666,2024
Manufacturing,Bard,6.94,6264,2024
Manufacturing,Midjourney,78.03,5060,2023
Transportation,ChatGPT,72.18,3335,2024
Technology,Stable Diffusion,77,4003,2024
Healthcare,Midjourney,32.45,433,2024
Retail,ChatGPT,66.78,874,2023
Technology,ChatGPT,41.78,7345,2024
Manufacturing,ChatGPT,41.97,4569,2024
Agriculture,Bard,15.49,5457,2023
Technology,ChatGPT,25.51,4421,2023
Education,Midjourney,7.57,4620,2023
Retail,Midjourney,87.91,4980,2023
Manufacturing,Midjourney,17.25,7147,2024
Education,Midjourney,66.41,7198,2024
Technology,ChatGPT,97.57,7936,2023
Manufacturing,ChatGPT,97.83,7421,2024
Transportation,Midjourney,96.14,568,2024
Technology,ChatGPT,56.56,2233,2023
Education,Midjourney,95.23,2587,2024
Retail,Stable Diffusion,92.73,7106,2023
Transportation,Midjourney,72.27,3730,2023
Education,Bard,66.75,9095,2024
Agriculture,ChatGPT,12.53,8197,2024
Technology,Midjourney,80.49,6752,2024
Manufacturing,Midjourney,53.49,8983,2024
Retail,ChatGPT,58.29,9515,2024
Finance,ChatGPT,15.88,8964,2023
Finance,Midjourney,1.95,922,2024
Education,Bard,67.31,2345,2024
Healthcare,ChatGPT,57.65,8883,2024
Finance,Midjourney,81.53,9722,2024
Manufacturing,Stable Diffusion,10.44,3977,2023
Retail,Stable Diffusion,1.57,2074,2024
Manufacturing,Midjourney,57.09,2010,2024
Technology,ChatGPT,48.4,5800,2024
Transportation,Midjourney,41.12,3078,2024
Technology,Midjourney,32.4,1474,2024
Healthcare,Midjourney,38.96,8615,2024
Manufacturing,Claude,94.01,4718,2024
Healthcare,Midjourney,28.65,7214,2023
Transportation,ChatGPT,9.75,2829,2024
Retail,ChatGPT,59.21,7896,2024
Finance,ChatGPT,95.83,3617,2024
Transportation,Midjourney,63.97,5574,2024
Technology,Stable Diffusion,36.96,4058,2023
Retail,Bard,73.88,8130,2023
Retail,ChatGPT,79.62,9614,2024
Healthcare,ChatGPT,21.7,5979,2024
Finance,Bard,33.03,5688,2023
Finance,ChatGPT,25.25,4048,2023
Transportation,Claude,4.39,172,2024
Finance,ChatGPT,16.74,9524,2023
Finance,Bard,25.18,1057,2024
Retail,Midjourney,21.24,5999,2024
Technology,Bard,81.81,8345,2023
Manufacturing,Stable Diffusion,85.37,5427,2024
Technology,ChatGPT,55.96,8628,2024
Manufacturing,ChatGPT,92.58,8438,2024
Technology,ChatGPT,23.49,3874,2024
Agriculture,ChatGPT,4.04,1649,2023
Retail,Claude,71.74,8149,2024
Transportation,Bard,30.34,3877,2023
Agriculture,Midjourney,83.43,7435,2024
Transportation,Bard,35.45,9286,2024
Agriculture,Bard,48.45,9430,2024
Technology,Stable Diffusion,3.75,9099,2024
Agriculture,ChatGPT,13.33,385,2024
Manufacturing,ChatGPT,18.06,2649,2024
Healthcare,Stable Diffusion,62.05,1467,2024
Retail,Midjourney,89.47,1980,2023
Healthcare,ChatGPT,46.12,4567,2024
Education,ChatGPT,40.92,2289,2024
Healthcare,Midjourney,21.66,1385,2023
Transportation,Midjourney,40.01,800,2024
Healthcare,Stable Diffusion,20.33,8617,2023
Transportation,Stable Diffusion,81.54,5950,2024
Manufacturing,ChatGPT,3.76,181,2023
Manufacturing,ChatGPT,57.24,2403,2024
Technology,ChatGPT,98.17,6894,2024
Healthcare,Midjourney,26.75,564,2024
Retail,Claude,46.59,5795,2024
Education,ChatGPT,47.95,5590,2024
Technology,Stable Diffusion,36.66,4088,2024
Agriculture,Midjourney,36.09,9862,2023
Retail,Midjourney,92.18,9813,2024
Agriculture,Stable Diffusion,88.42,2978,2023
Retail,Midjourney,73.14,7938,2024
Agriculture,Claude,39.82,278,2023
Manufacturing,Bard,13.85,444,2024
Retail,Midjourney,20.82,2805,2024
Agriculture,ChatGPT,96.25,3118,2023
Retail,Midjourney,71.13,4144,2024
Finance,ChatGPT,12.65,4948,2023
Education,Bard,40.33,2946,2024
Retail,Midjourney,99.03,4447,2024
Transportation,Stable Diffusion,77.33,2289,2024
Agriculture,ChatGPT,21.93,546,2024
Agriculture,Midjourney,36.31,9436,2024
Agriculture,Stable Diffusion,93.69,5435,2024
Finance,ChatGPT,75.78,8192,2023
Transportation,ChatGPT,76.02,9836,2024
Education,Bard,76.76,198,2024
Healthcare,ChatGPT,61.8,9093,2024
Agriculture,Midjourney,32.99,5761,2024
Technology,Midjourney,17.08,9545,2024
Finance,ChatGPT,90.85,1899,2024
Transportation,Midjourney,13.64,9334,2024
Manufacturing,Claude,20.12,5410,2024
Agriculture,Stable Diffusion,58.43,7038,2024
Retail,ChatGPT,32.58,808,2024
Transportation,Bard,14.51,1030,2024
Retail,Midjourney,44.53,8504,2024
Healthcare,ChatGPT,3.32,8134,2024
Healthcare,Midjourney,23.41,8409,2023
Healthcare,ChatGPT,80.01,6058,2024
Transportation,ChatGPT,48.51,812,2024
Technology,Stable Diffusion,11.61,9505,2024
Finance,ChatGPT,11.66,1622,2024
Technology,Stable Diffusion,31.83,610,2024
Retail,Midjourney,30.41,8161,2023
Finance,Midjourney,37.12,3863,2023
Healthcare,Stable Diffusion,87.67,8280,2024
Transportation,ChatGPT,2.83,4368,2024
Transportation,Midjourney,65.76,6268,2024
Transportation,Midjourney,30.74,8350,2024
Education,ChatGPT,54.84,8938,2024
Technology,Stable Diffusion,64.13,2553,2023
Education,Midjourney,24.94,9385,2024
Healthcare,Bard,48.58,9888,2024
Agriculture,Bard,94.29,784,2023
Education,Midjourney,91.99,6696,2024
Healthcare,Midjourney,48.24,8118,2023
Technology,ChatGPT,13.52,7742,2024
Transportation,ChatGPT,67.45,9892,2024
Transportation,ChatGPT,98.41,6715,2023
Healthcare,Stable Diffusion,52.59,673,2024
Healthcare,ChatGPT,92.03,2033,2024
Education,Stable Diffusion,92.83,5831,2024
Education,ChatGPT,27.83,2481,2024
Healthcare,ChatGPT,33.48,1920,2024
Healthcare,ChatGPT,19.75,8063,2024
Healthcare,ChatGPT,70.74,5118,2024
Education,Claude,18.04,6236,2024
Technology,ChatGPT,86.73,2615,2024
Agriculture,Claude,34.59,5959,2024
Technology,ChatGPT,97.07,8689,2024
Education,ChatGPT,26.92,2398,2024
Transportation,Bard,54.54,7684,2024
Agriculture,ChatGPT,57.63,3655,2024
Education,Midjourney,64.61,8313,2024
Transportation,ChatGPT,70.36,5686,2023
Agriculture,ChatGPT,81,4908,2024
Education,ChatGPT,29.75,4720,2024
Manufacturing,Midjourney,34.3,1410,2024
Technology,Midjourney,63.44,3238,2023
Finance,Midjourney,72.67,4092,2023
Technology,Midjourney,38.42,1471,2024
Healthcare,Midjourney,44.14,804,2024
Retail,ChatGPT,49.17,2973,2023
Agriculture,Stable Diffusion,85.51,2550,2024
Transportation,ChatGPT,85.64,6763,2024
Transportation,Stable Diffusion,58.65,4442,2024
Manufacturing,ChatGPT,92.48,7516,2023
Retail,Midjourney,75.08,4150,2024
Agriculture,Stable Diffusion,91.79,4073,2024
Transportation,Midjourney,0.5,6321,2024
Education,ChatGPT,11.78,4196,2024
Retail,Midjourney,24.1,3157,2024
Technology,ChatGPT,25.02,3953,2024
Agriculture,Stable Diffusion,67.97,3381,2024
Agriculture,Stable Diffusion,70.13,9368,2023
Agriculture,Midjourney,33.97,8944,2024
Education,Bard,42.23,8558,2024
Finance,ChatGPT,64.56,393,2024
Retail,Midjourney,92.23,7247,2023
Manufacturing,ChatGPT,35.77,8646,2024
Retail,Midjourney,45.41,1951,2024
Technology,Midjourney,15.56,7353,2024
Technology,Stable Diffusion,98.05,3709,2024
Transportation,Stable Diffusion,50.08,5719,2024
Education,ChatGPT,71.4,7941,2024
Agriculture,Stable Diffusion,43.51,7781,2023
Healthcare,ChatGPT,25.49,8405,2024
Technology,ChatGPT,23.8,7557,2023
Technology,Midjourney,79.72,9336,2024
Retail,Midjourney,32.9,8567,2023
Healthcare,ChatGPT,9.49,7919,2024
Finance,ChatGPT,21.09,1148,2024
Transportation,Bard,20.63,829,2024
Manufacturing,ChatGPT,59.89,5879,2024
Retail,ChatGPT,19.68,8260,2024
Healthcare,ChatGPT,50.37,8017,2024
Agriculture,Midjourney,54.98,4094,2024
Education,ChatGPT,0.16,9325,2024
Healthcare,Midjourney,19.79,1940,2024
Technology,Bard,76.48,2224,2024
Transportation,ChatGPT,91.32,5612,2024
Agriculture,Midjourney,10.33,989,2023
Transportation,Midjourney,18.36,3504,2024
Finance,ChatGPT,33.42,5436,2024
Retail,Midjourney,37.49,5788,2023
Manufacturing,Midjourney,65.91,4101,2024
Manufacturing,Midjourney,90.34,7526,2024
Finance,Claude,63.21,4258,2024
Technology,Stable Diffusion,23.73,8759,2023
Retail,Midjourney,28.6,5033,2024
Healthcare,ChatGPT,39.68,3870,2024
Technology,ChatGPT,52.01,2961,2024
Education,ChatGPT,61.65,5398,2024
Education,ChatGPT,1.48,6347,2024
Healthcare,Midjourney,56.11,7953,2024
Agriculture,ChatGPT,98.07,5204,2024
Technology,ChatGPT,16.66,2386,2024
Education,ChatGPT,63.1,8928,2024
Education,Midjourney,88.07,6449,2024
Manufacturing,ChatGPT,58.67,5942,2024
Agriculture,ChatGPT,98.02,111,2023
Finance,ChatGPT,15.1,2955,2024
Education,Stable Diffusion,45.17,4770,2024
Technology,Midjourney,86.14,5702,2023
Agriculture,Midjourney,28.24,3349,2024
Healthcare,Midjourney,34.25,735,2023
Finance,ChatGPT,50.59,7092,2024
Transportation,ChatGPT,72.76,3463,2023
Transportation,Stable Diffusion,73.25,6346,2024
Transportation,ChatGPT,55.59,7846,2024
Transportation,Midjourney,17.31,8042,2024
Transportation,ChatGPT,95.8,8512,2024
Manufacturing,Midjourney,55.92,727,2024
Technology,Stable Diffusion,36.48,7867,2024
Manufacturing,Midjourney,84.51,7219,2024
Retail,ChatGPT,53.41,7751,2023
Technology,Bard,91.27,9265,2024
Agriculture,Stable Diffusion,54.72,9272,2024
Technology,Midjourney,43.12,3221,2024
Agriculture,ChatGPT,92.92,6910,2024
Transportation,Midjourney,37.63,494,2023
Retail,Stable Diffusion,47.54,5483,2024
Agriculture,ChatGPT,82.58,7593,2023
Retail,Midjourney,11.16,8346,2024
Retail,Midjourney,40.76,4347,2024
Finance,Midjourney,9.36,728,2024
Technology,ChatGPT,80.7,5724,2024
Healthcare,Bard,86.11,898,2024
Education,Midjourney,60.97,4904,2024
Retail,ChatGPT,97.88,4587,2024
Technology,Stable Diffusion,92.09,1456,2024
Healthcare,Bard,69.9,959,2024
Finance,Stable Diffusion,99.3,9037,2024
Education,Midjourney,3.04,3429,2024
Retail,Midjourney,42.41,7008,2024
Finance,ChatGPT,41.55,2928,2024
Manufacturing,Midjourney,68.57,8400,2023
Agriculture,Midjourney,98.4,3602,2024
Manufacturing,ChatGPT,5.14,8009,2023
Retail,Claude,59.56,7201,2024
Education,Midjourney,77.31,4400,2024
Transportation,Midjourney,25.4,2616,2024
Technology,ChatGPT,43.5,4195,2024
Technology,ChatGPT,88.38,1253,2024
Education,ChatGPT,92.09,8522,2024
Manufacturing,Stable Diffusion,71.08,7207,2024
Agriculture,ChatGPT,70.67,7281,2024
Healthcare,Bard,31.07,2617,2024
Healthcare,Midjourney,29.56,6214,2023
Transportation,ChatGPT,0.38,4662,2024
Retail,ChatGPT,22.6,8793,2023
Technology,Midjourney,88.65,9815,2024
Transportation,Midjourney,31.28,9100,2024
Education,Midjourney,58.34,2229,2023
Retail,Midjourney,13.14,2824,2023
Technology,ChatGPT,23.12,6077,2024
Technology,Midjourney,84.84,4501,2024
Healthcare,ChatGPT,5.15,9936,2024
Agriculture,ChatGPT,43.19,7874,2024
Retail,Stable Diffusion,54.62,8320,2023
Agriculture,ChatGPT,83.62,4390,2023
Healthcare,Claude,52.68,4924,2024
Finance,Midjourney,53.7,6713,2024
Manufacturing,ChatGPT,1.47,5795,2023
Retail,Bard,13.36,3218,2023
Retail,Claude,65.52,5969,2024
Manufacturing,Stable Diffusion,51.64,8416,2024
Retail,ChatGPT,21.88,4045,2024
Agriculture,Claude,61.02,2471,2024
Finance,ChatGPT,94.1,5046,2024
Healthcare,Midjourney,44.58,6707,2024
Education,ChatGPT,92.17,1439,2024
Healthcare,ChatGPT,47.35,7405,2024
Agriculture,Midjourney,76.09,5303,2024
Retail,Midjourney,96.14,2637,2024
Transportation,Midjourney,0.35,931,2024
Transportation,ChatGPT,7.77,415,2024
Finance,Bard,84.59,5636,2024
Transportation,Midjourney,43.93,5378,2024
Retail,ChatGPT,57.11,3592,2023
Manufacturing,Stable Diffusion,71.94,2789,2024
Manufacturing,ChatGPT,11.79,758,2024
Manufacturing,Midjourney,92.16,1207,2024
Finance,ChatGPT,90.36,4857,2024
Retail,ChatGPT,34.57,2712,2023
Education,ChatGPT,17.25,262,2024
Agriculture,Bard,78.42,564,2024
Transportation,ChatGPT,99.06,6677,2024
Education,Claude,56.14,3075,2024
Education,ChatGPT,79.48,3610,2023
Education,Stable Diffusion,97.95,3444,2024
Retail,ChatGPT,84.58,7153,2024
Retail,ChatGPT,21.19,7251,2024
Retail,Midjourney,69.36,5932,2024
Retail,Stable Diffusion,9.45,4649,2024
Manufacturing,Claude,23.64,1669,2023
Agriculture,ChatGPT,48.32,7911,2024
Transportation,ChatGPT,74.4,3378,2024
Agriculture,ChatGPT,72.71,6371,2024
Healthcare,Stable Diffusion,25.25,5270,2024
Agriculture,Midjourney,43.23,6803,2024
Finance,Midjourney,85.17,867,2024
Technology,ChatGPT,3.68,6020,2024
Retail,ChatGPT,25.39,9394,2024
Transportation,Stable Diffusion,21.38,9564,2023
Transportation,ChatGPT,50.38,1533,2024
Retail,Midjourney,47.25,6227,2024
Finance,Bard,85.35,8252,2023
Education,Midjourney,43.59,2332,2024
Manufacturing,Midjourney,84.11,8228,2024
Transportation,ChatGPT,81.76,1852,2024
Agriculture,ChatGPT,98.7,3431,2024
Agriculture,ChatGPT,60.32,9380,2023
Agriculture,Bard,50.74,7415,2024
Finance,Midjourney,44.33,6672,2023
Finance,ChatGPT,92.49,762,2023
Healthcare,ChatGPT,20.69,2801,2024
Agriculture,Midjourney,94.67,5864,2023
Healthcare,Midjourney,71.56,1507,2023
Finance,Midjourney,39.96,6037,2023
Manufacturing,ChatGPT,57.61,5262,2023
Transportation,ChatGPT,8.46,7362,2024
Healthcare,ChatGPT,6.31,7633,2023
Manufacturing,Stable Diffusion,83.51,3875,2024
Education,ChatGPT,31.33,2259,2023
Manufacturing,ChatGPT,50.15,3004,2024
Agriculture,Midjourney,38.26,6947,2024
Agriculture,Stable Diffusion,41.2,1090,2023
Manufacturing,ChatGPT,94.99,3992,2024
Retail,Claude,23.6,2603,2024
Education,ChatGPT,66.19,1745,2024
Education,ChatGPT,38.78,9634,2024
Manufacturing,Midjourney,24.67,9847,2024
Agriculture,ChatGPT,45.44,1111,2023
Education,Bard,92.56,5053,2023
Transportation,Bard,85.95,6803,2024
Retail,ChatGPT,44.23,7732,2023
Finance,Stable Diffusion,26.17,5300,2024
Education,Stable Diffusion,79.28,3747,2023
Retail,ChatGPT,42.32,4974,2024
Transportation,Claude,81.67,2449,2024
Healthcare,ChatGPT,14.74,4026,2023
Healthcare,Midjourney,52.03,6125,2024
Finance,ChatGPT,94.3,4168,2024
Education,Bard,9.12,3735,2024
Manufacturing,ChatGPT,83.31,1986,2024
Transportation,ChatGPT,87.93,6438,2024
Manufacturing,Stable Diffusion,36.14,1682,2024
