Country,iso3,type,AIPI,Digitial Infrastructure,Innovation and Economic Integration,Human Capital and Labor Market Policies,Regulation and Ethics
Thailand,THA,EM,0.54,0.14,0.12,0.14,0.13
Trinidad and Tobago,TTO,EM,0.44,0.09,0.11,0.12,0.11
Tunisia,TUN,EM,0.47,0.11,0.10,0.13,0.12
Turkey,TUR,EM,0.54,0.14,0.13,0.14,0.13
Ukraine,UKR,EM,0.51,0.14,0.10,0.15,0.12
United Arab Emirates,ARE,EM,0.63,0.15,0.15,0.15,0.17
Uruguay,URY,EM,0.55,0.13,0.12,0.13,0.17
Venezuela,VEN,EM,0.27,0.07,0.07,0.11,0.02
Afghanistan,AFG,LIC,NA,0.05,NA,0.05,0.04
Bangladesh,BGD,LIC,0.38,0.09,0.11,0.09,0.10
Benin,BEN,LIC,0.36,0.07,0.10,0.10,0.10
Bhutan,BTN,LIC,0.44,0.09,0.09,0.12,0.15
Burkina Faso,BFA,LIC,0.31,0.06,0.08,0.08,0.10
Burundi,BDI,LIC,0.29,0.04,0.07,0.11,0.07
Cambodia,KHM,LIC,0.37,0.08,0.11,0.09,0.08
Cameroon,CMR,LIC,0.34,0.07,0.09,0.10,0.08
Central African Republic,CAF,LIC,0.18,0.02,0.09,0.03,0.04
Chad,TCD,LIC,0.23,0.03,0.08,0.07,0.05
Comoros,COM,LIC,0.25,0.04,0.11,0.07,0.04
Congo,COG,LIC,0.28,0.05,0.10,0.08,0.05
Congo,COD,LIC,0.25,0.04,0.07,0.07,0.06
Côte d'Ivoire,CIV,LIC,0.37,0.08,0.08,0.10,0.10
Djibouti,DJI,LIC,0.32,0.06,0.12,0.09,0.05
Ethiopia,ETH,LIC,0.25,0.05,0.07,0.06,0.07
Gambia,GMB,LIC,0.36,0.05,0.10,0.12,0.09
Ghana,GHA,LIC,0.43,0.09,0.09,0.11,0.13
Guinea,GIN,LIC,0.32,0.06,0.08,0.12,0.07
Guinea-Bissau,GNB,LIC,0.26,0.04,0.12,0.04,0.06
Haiti,HTI,LIC,0.27,0.03,0.14,0.06,0.04
Honduras,HND,LIC,0.34,0.06,0.09,0.11,0.08
Kenya,KEN,LIC,0.45,0.10,0.11,0.11,0.13
Kyrgyzstan,KGZ,LIC,0.43,0.11,0.10,0.12,0.10
Lao People's Democratic Republic,LAO,LIC,0.33,0.06,0.09,0.11,0.08
Lesotho,LSO,LIC,0.36,0.07,0.08,0.10,0.10
Liberia,LBR,LIC,0.37,0.04,0.15,0.10,0.08
Madagascar,MDG,LIC,0.31,0.05,0.07,0.09,0.09
Malawi,MWI,LIC,0.34,0.05,0.10,0.10,0.10
Mali,MLI,LIC,0.30,0.06,0.08,0.08,0.08
Mauritania,MRT,LIC,0.23,0.05,0.07,0.06,0.05
Moldova,MDA,LIC,0.48,0.13,0.10,0.13,0.13
Mozambique,MOZ,LIC,0.26,0.05,0.07,0.07,0.07
Myanmar,MMR,LIC,0.33,0.07,0.09,0.12,0.05
Nepal,NPL,LIC,0.35,0.08,0.09,0.10,0.09
Nicaragua,NIC,LIC,0.33,0.07,0.11,0.09,0.06
Niger,NER,LIC,0.33,0.04,0.13,0.06,0.09
Nigeria,NGA,LIC,0.34,0.08,0.09,0.09,0.07
Papua New Guinea,PNG,LIC,0.29,0.05,0.10,0.05,0.09
Rwanda,RWA,LIC,0.44,0.08,0.11,0.10,0.14
Sao Tome and Principe,STP,LIC,NA,0.06,NA,0.07,0.09
Senegal,SEN,LIC,0.40,0.08,0.09,0.10,0.12
Sierra Leone,SLE,LIC,0.30,0.05,0.09,0.08,0.08
Somalia,SOM,LIC,NA,0.04,0.12,NA,0.03
South Sudan,SSD,LIC,NA,0.02,NA,0.04,0.01
Sudan,SDN,LIC,0.23,0.05,0.08,0.07,0.03
Tajikistan,TJK,LIC,0.37,0.06,0.09,0.14,0.07
Tanzania,TZA,LIC,0.35,0.06,0.10,0.09,0.09
Timor-Leste,TLS,LIC,0.43,0.08,0.13,0.11,0.12
Togo,TGO,LIC,0.32,0.06,0.08,0.08,0.09
Uganda,UGA,LIC,0.35,0.06,0.11,0.09,0.09
Uzbekistan,UZB,LIC,NA,0.11,NA,0.13,0.10
Viet Nam,VNM,LIC,0.48,0.14,0.11,0.12,0.11
Yemen,YEM,LIC,0.25,0.04,0.12,0.07,0.02
Zambia,ZMB,LIC,0.37,0.07,0.10,0.11,0.09
Zimbabwe,ZWE,LIC,0.30,0.06,0.09,0.09,0.06
,,,,,,,
